,State,Year,Household_Size,Income_Level
558,IN,2020,7,39640
559,IN,2020,8,44120
560,IA,2016,1,11880
561,IA,2016,2,16020
562,IA,2016,3,20160
563,IA,2016,4,24300
564,IA,2016,5,28440
565,IA,2016,6,32580
566,IA,2016,7,36730
567,IA,2016,8,40890
568,IA,2017,1,12060
569,IA,2017,2,16240
570,IA,2017,3,20420
571,IA,2017,4,24600
572,IA,2017,5,28780
573,IA,2017,6,32960
574,IA,2017,7,37140
575,IA,2017,8,41320
576,IA,2018,1,12140
577,IA,2018,2,16460
578,IA,2018,3,20780
579,IA,2018,4,25100
580,IA,2018,5,29420
581,IA,2018,6,33740
582,IA,2018,7,38060
583,IA,2018,8,42380
584,IA,2019,1,12490
585,IA,2019,2,16910
586,IA,2019,3,21330
587,IA,2019,4,25750
588,IA,2019,5,30170
589,IA,2019,6,34590
590,IA,2019,7,39010
591,IA,2019,8,43430
592,IA,2020,1,12760
593,IA,2020,2,17240
594,IA,2020,3,21720
595,IA,2020,4,26200
596,IA,2020,5,30680
597,IA,2020,6,35160
598,IA,2020,7,39640
599,IA,2020,8,44120
600,KS,2016,1,11880
601,KS,2016,2,16020
602,KS,2016,3,20160
603,KS,2016,4,24300
604,KS,2016,5,28440
605,KS,2016,6,32580
606,KS,2016,7,36730
607,KS,2016,8,40890
608,KS,2017,1,12060
609,KS,2017,2,16240
610,KS,2017,3,20420
611,KS,2017,4,24600
612,KS,2017,5,28780
613,KS,2017,6,32960
614,KS,2017,7,37140
615,KS,2017,8,41320
616,KS,2018,1,12140
617,KS,2018,2,16460
618,KS,2018,3,20780
619,KS,2018,4,25100
620,KS,2018,5,29420
621,KS,2018,6,33740
622,KS,2018,7,38060
623,KS,2018,8,42380
624,KS,2019,1,12490
625,KS,2019,2,16910
626,KS,2019,3,21330
627,KS,2019,4,25750
628,KS,2019,5,30170
629,KS,2019,6,34590
630,KS,2019,7,39010
631,KS,2019,8,43430
632,KS,2020,1,12760
633,KS,2020,2,17240
634,KS,2020,3,21720
635,KS,2020,4,26200
636,KS,2020,5,30680
637,KS,2020,6,35160
638,KS,2020,7,39640
639,KS,2020,8,44120
640,KY,2016,1,11880
641,KY,2016,2,16020
642,KY,2016,3,20160
643,KY,2016,4,24300
644,KY,2016,5,28440
645,KY,2016,6,32580
646,KY,2016,7,36730
647,KY,2016,8,40890
648,KY,2017,1,12060
649,KY,2017,2,16240
650,KY,2017,3,20420
651,KY,2017,4,24600
652,KY,2017,5,28780
653,KY,2017,6,32960
654,KY,2017,7,37140
655,KY,2017,8,41320
656,KY,2018,1,12140
657,KY,2018,2,16460
658,KY,2018,3,20780
659,KY,2018,4,25100
660,KY,2018,5,29420
661,KY,2018,6,33740
662,KY,2018,7,38060
663,KY,2018,8,42380
664,KY,2019,1,12490
665,KY,2019,2,16910
666,KY,2019,3,21330
667,KY,2019,4,25750
668,KY,2019,5,30170
669,KY,2019,6,34590
670,KY,2019,7,39010
671,KY,2019,8,43430
672,KY,2020,1,12760
673,KY,2020,2,17240
674,KY,2020,3,21720
675,KY,2020,4,26200
676,KY,2020,5,30680
677,KY,2020,6,35160
678,KY,2020,7,39640
679,KY,2020,8,44120
680,LA,2016,1,11880
681,LA,2016,2,16020
682,LA,2016,3,20160
683,LA,2016,4,24300
684,LA,2016,5,28440
685,LA,2016,6,32580
686,LA,2016,7,36730
687,LA,2016,8,40890
688,LA,2017,1,12060
689,LA,2017,2,16240
690,LA,2017,3,20420
691,LA,2017,4,24600
692,LA,2017,5,28780
693,LA,2017,6,32960
694,LA,2017,7,37140
695,LA,2017,8,41320
696,LA,2018,1,12140
697,LA,2018,2,16460
698,LA,2018,3,20780
699,LA,2018,4,25100
700,LA,2018,5,29420
701,LA,2018,6,33740
702,LA,2018,7,38060
703,LA,2018,8,42380
704,LA,2019,1,12490
705,LA,2019,2,16910
706,LA,2019,3,21330
707,LA,2019,4,25750
708,LA,2019,5,30170
709,LA,2019,6,34590
710,LA,2019,7,39010
711,LA,2019,8,43430
712,LA,2020,1,12760
713,LA,2020,2,17240
714,LA,2020,3,21720
715,LA,2020,4,26200
716,LA,2020,5,30680
717,LA,2020,6,35160
718,LA,2020,7,39640
719,LA,2020,8,44120
720,ME,2016,1,11880
721,ME,2016,2,16020
722,ME,2016,3,20160
723,ME,2016,4,24300
724,ME,2016,5,28440
725,ME,2016,6,32580
726,ME,2016,7,36730
727,ME,2016,8,40890
728,ME,2017,1,12060
729,ME,2017,2,16240
730,ME,2017,3,20420
731,ME,2017,4,24600
732,ME,2017,5,28780
733,ME,2017,6,32960
734,ME,2017,7,37140
735,ME,2017,8,41320
736,ME,2018,1,12140
737,ME,2018,2,16460
738,ME,2018,3,20780
739,ME,2018,4,25100
740,ME,2018,5,29420
741,ME,2018,6,33740
742,ME,2018,7,38060
743,ME,2018,8,42380
744,ME,2019,1,12490
745,ME,2019,2,16910
746,ME,2019,3,21330
747,ME,2019,4,25750
748,ME,2019,5,30170
749,ME,2019,6,34590
750,ME,2019,7,39010
751,ME,2019,8,43430
752,ME,2020,1,12760
753,ME,2020,2,17240
754,ME,2020,3,21720
755,ME,2020,4,26200
756,ME,2020,5,30680
757,ME,2020,6,35160
758,ME,2020,7,39640
759,ME,2020,8,44120
760,MD,2016,1,11880
761,MD,2016,2,16020
762,MD,2016,3,20160
763,MD,2016,4,24300
764,MD,2016,5,28440
765,MD,2016,6,32580
766,MD,2016,7,36730
767,MD,2016,8,40890
768,MD,2017,1,12060
769,MD,2017,2,16240
770,MD,2017,3,20420
771,MD,2017,4,24600
772,MD,2017,5,28780
773,MD,2017,6,32960
774,MD,2017,7,37140
775,MD,2017,8,41320
776,MD,2018,1,12140
777,MD,2018,2,16460
778,MD,2018,3,20780
779,MD,2018,4,25100
780,MD,2018,5,29420
781,MD,2018,6,33740
